"ID","Year","Latitude","Longitude","Radius","Conflict site","Conflict territory","Version",,
1,1946,-16.5,-68.15,50,"145","Bolivia","4-2006",,
1,1952,-16.5,-68.15,50,"145","Bolivia","4-2006",,
1,1967,-21,-66,250,"145","Bolivia","4-2006",,
2,1946,12.5,105,350,220,"French colony of Cambodia","4-2006",,"NOTE: One row per country with conflict on its soil"
2,1946,12.5,105,350,811,"French colony of Cambodia","4-2006",,
2,1947,12.5,105,350,220,"French colony of Cambodia","4-2006",,
2,1947,12.5,105,350,811,"French colony of Cambodia","4-2006",,
2,1948,12.5,105,350,220,"French colony of Cambodia","4-2006",,
2,1948,12.5,105,350,811,"French colony of Cambodia","4-2006",,
2,1949,12.5,105,350,220,"French colony of Cambodia","4-2006",,
2,1949,12.5,105,350,811,"French colony of Cambodia","4-2006",,
2,1950,12.5,105,350,220,"French colony of Cambodia","4-2006",,
2,1950,12.5,105,350,811,"French colony of Cambodia","4-2006",,
2,1951,12.5,105,350,220,"French colony of Cambodia","4-2006",,
2,1951,12.5,105,350,811,"French colony of Cambodia","4-2006",,
2,1952,12.5,105,350,220,"French colony of Cambodia","4-2006",,
2,1952,12.5,105,350,811,"French colony of Cambodia","4-2006",,
2,1953,12.5,105,350,220,"French colony of Cambodia","4-2006",,
2,1953,12.5,105,350,811,"French colony of Cambodia","4-2006",,
3,1946,35,110,2000,"710","China","4-2006",,
3,1947,35,110,2000,"710","China","4-2006",,
3,1948,35,110,2000,"710","China","4-2006",,
3,1949,35,110,2000,"710","China","4-2006",,
4,1946,39.5,22.5,200,"350","Greece","4-2006",,
4,1947,39.5,22.5,200,"350","Greece","4-2006",,
4,1948,39.5,22.5,200,"350","Greece","4-2006",,
4,1949,39.5,22.5,200,"350","Greece","4-2006",,
5,1946,0,110,1800,210,"Dutch colony of Indonesia","4-2006",,
5,1946,0,110,1800,850,"Dutch colony of Indonesia","4-2006",,
5,1947,0,110,1800,210,"Dutch colony of Indonesia","4-2006",,
5,1947,0,110,1800,850,"Dutch colony of Indonesia","4-2006",,
5,1948,0,110,1800,210,"Dutch colony of Indonesia","4-2006",,
5,1948,0,110,1800,850,"Dutch colony of Indonesia","4-2006",,
5,1949,0,110,1800,210,"Dutch colony of Indonesia","4-2006",,
5,1949,0,110,1800,850,"Dutch colony of Indonesia","4-2006",,
6,1946,37,46,300,"630","Iran","4-2006",,
